run_id,experiment,dataset,depth,time_steps,condition,topology,neuron,seed,config_file,config_hash,config_file_sha256,matrix_key,protocol_hash
E1_cifar100_d20_t6_C1_s1975342236,E1,cifar100,20,6,C1,spiking_resnet,lif,1975342236,E1_cifar100_d20_t6_C1_s1975342236.yaml,f7a3920b6b8ee41a97e71b8c13ce69086865358aab4782f8c24393f53c6f9582,7b6fd7e24178284eb5916f863e76514cde9a3c9817b6c436e583026ebb93fd04,"[""cifar100"",20,6,""C1"",1975342236]",68bb14e892a696bc87b3a2d3f196b81fc58b299dd0c485cf72a50bb5fd0b0a54
E1_cifar100_d20_t6_C2_s1975342236,E1,cifar100,20,6,C2,spiking_resnet,ta_lif,1975342236,E1_cifar100_d20_t6_C2_s1975342236.yaml,cdca1cf4d77728f609f3ca54c1e3581c475a4ae55ed1587e2d6495f6b6d69f00,a355b53c224c08d9a6b862e1bef6b00d6ea24e005ee286dc575eaf2c38b544fc,"[""cifar100"",20,6,""C2"",1975342236]",68bb14e892a696bc87b3a2d3f196b81fc58b299dd0c485cf72a50bb5fd0b0a54
E1_cifar10dvs_d20_t10_C1_s1983855948,E1,cifar10dvs,20,10,C1,spiking_resnet,lif,1983855948,E1_cifar10dvs_d20_t10_C1_s1983855948.yaml,c6ea51f614737c7533ed6cdf06aed95d75e5790a42a85f84e92ca9ba738a214e,1a7ffc3bb1452edd5e676193dc4b579b3c0dccf5db76f984d653005600777227,"[""cifar10dvs"",20,10,""C1"",1983855948]",68bb14e892a696bc87b3a2d3f196b81fc58b299dd0c485cf72a50bb5fd0b0a54
E1_cifar10dvs_d20_t10_C2_s1983855948,E1,cifar10dvs,20,10,C2,spiking_resnet,ta_lif,1983855948,E1_cifar10dvs_d20_t10_C2_s1983855948.yaml,c39e4bf071ab18a141342831b2788f71954a1e8b2e9706a40a71ae6eed4907d0,6118fad81458fefb8e4d101ae2fc59fb798cca6b691022fa0c2e74cd9b42b29e,"[""cifar10dvs"",20,10,""C2"",1983855948]",68bb14e892a696bc87b3a2d3f196b81fc58b299dd0c485cf72a50bb5fd0b0a54
