run_id,experiment,dataset,depth,time_steps,condition,topology,neuron,seed,config_file,config_hash,config_file_sha256,matrix_key,protocol_hash
E1_cifar100_d20_t6_C1_s77,E1,cifar100,20,6,C1,spiking_resnet,lif,77,E1_cifar100_d20_t6_C1_s77.yaml,7e47eec52b65a8eb875191452171df37af97bddd7bad01bb846efaddd5e5ffd1,608e2fcfd9490f039f2117c6a06ea55c7c6fb7ab1f21dfb1aa6484dec501a32e,"[""cifar100"",20,6,""C1"",77]",c0b4e409bc8ed2e7e5ce1f9f18f38ebc5ec48328697cf53500997f8a34b1925d
E1_cifar100_d20_t6_C2_s77,E1,cifar100,20,6,C2,spiking_resnet,ta_lif,77,E1_cifar100_d20_t6_C2_s77.yaml,1912536f8596b50f10007c5633d7b9c508290c763bf0995c318b9a75ceac55ca,c9127f271cc74d653d6a4b3bcae94201c023d0fba10f7d8b7513ce6b7b4341b5,"[""cifar100"",20,6,""C2"",77]",c0b4e409bc8ed2e7e5ce1f9f18f38ebc5ec48328697cf53500997f8a34b1925d
E1_cifar100_d20_t6_C3_s77,E1,cifar100,20,6,C3,ms_resnet,lif,77,E1_cifar100_d20_t6_C3_s77.yaml,55de23a31c563b2b1813a703861c27f6b921c315f3caeda0365e9863a47ccfd3,1d6ba0cd16e6d088d88b09ea5b69a9d861be0264824ab86f6dc87b1d3fb2bd34,"[""cifar100"",20,6,""C3"",77]",c0b4e409bc8ed2e7e5ce1f9f18f38ebc5ec48328697cf53500997f8a34b1925d
E1_cifar100_d20_t6_C4_s77,E1,cifar100,20,6,C4,ms_resnet,ta_lif,77,E1_cifar100_d20_t6_C4_s77.yaml,21634ff44731a89e60fdd4697c23c58037ffceded290a8376621891d58aed7e9,386c9f0130b0679d943d98feaec30d0895739bc2f32757a2143c96bd2365a9df,"[""cifar100"",20,6,""C4"",77]",c0b4e409bc8ed2e7e5ce1f9f18f38ebc5ec48328697cf53500997f8a34b1925d
