run_id,experiment,dataset,depth,time_steps,condition,topology,neuron,seed,config_file,config_hash,config_file_sha256,matrix_key,protocol_hash
E1_cifar100_d20_t6_C1_s88,E1,cifar100,20,6,C1,spiking_resnet,lif,88,E1_cifar100_d20_t6_C1_s88.yaml,86477892bbdcafce4dedb42da758d122b466a4f3b9d4b70c97c4cf892fe48bb5,56896988c1461c8888dec26c28033c120d3eb528fed596e0dbae6f68ec46c4de,"[""cifar100"",20,6,""C1"",88]",77109228d1f6479d47a97a011bf52a60987e9083ff8bab5d7ed64c7176c6af8a
E1_cifar100_d20_t6_C2_s88,E1,cifar100,20,6,C2,spiking_resnet,ta_lif,88,E1_cifar100_d20_t6_C2_s88.yaml,d24e36752a005c38e7d98beb787da465dd64eebae74804788b8d1fb6c0af2c96,680fe12be5769c10c5c95c1e8785c23787c9d9859428a688cd3295c6da43bc21,"[""cifar100"",20,6,""C2"",88]",77109228d1f6479d47a97a011bf52a60987e9083ff8bab5d7ed64c7176c6af8a
E1_cifar100_d20_t6_C3_s88,E1,cifar100,20,6,C3,ms_resnet,lif,88,E1_cifar100_d20_t6_C3_s88.yaml,03e213f7c96221649caab3863629212bf4ede54ffdc5f931290791dacf83851a,269d452083e246ba8c7cf1f6cfa44ad896e2f01f44cc5b30d355b7d65de398d4,"[""cifar100"",20,6,""C3"",88]",77109228d1f6479d47a97a011bf52a60987e9083ff8bab5d7ed64c7176c6af8a
E1_cifar100_d20_t6_C4_s88,E1,cifar100,20,6,C4,ms_resnet,ta_lif,88,E1_cifar100_d20_t6_C4_s88.yaml,0812a4aa19c0eb1a7208940c051fbf72cf6488981129d35c68fd902bf2ef8fda,e671e11708a920e5ebafc4f9a2fce0bfa5dbf719c02110cb1bbf2902ae301c1a,"[""cifar100"",20,6,""C4"",88]",77109228d1f6479d47a97a011bf52a60987e9083ff8bab5d7ed64c7176c6af8a
