run_id,experiment,dataset,depth,time_steps,condition,topology,neuron,seed,config_file,config_hash,config_file_sha256,matrix_key,protocol_hash
E1_cifar100_d20_t6_C1_s1968690143,E1,cifar100,20,6,C1,spiking_resnet,lif,1968690143,E1_cifar100_d20_t6_C1_s1968690143.yaml,e25203b19f88b019755715d5c968ccb98ec006b4ed76f387e782c4b83c9e18c6,9fa1660c75a123e947a48a34f2b1ad13b98c56c78d21bf00a7cb7b8c73cb802d,"[""cifar100"",20,6,""C1"",1968690143]",a5b2a664de5142438061f479a37f3b55401499104abb28ee3cf1d674ec1d4527
E1_cifar100_d20_t6_C2_s1968690143,E1,cifar100,20,6,C2,spiking_resnet,ta_lif,1968690143,E1_cifar100_d20_t6_C2_s1968690143.yaml,9e1fe36fe4939c3c37e54196fe2931c7c1c7230f2a17d72ce95845954f41473b,6e5377701d372b7e79da837daf68ae18e18a6852142272fff918c882162c1d3f,"[""cifar100"",20,6,""C2"",1968690143]",a5b2a664de5142438061f479a37f3b55401499104abb28ee3cf1d674ec1d4527
E1_cifar10dvs_d20_t10_C1_s1721988285,E1,cifar10dvs,20,10,C1,spiking_resnet,lif,1721988285,E1_cifar10dvs_d20_t10_C1_s1721988285.yaml,becb3db80764c8ea3d8ac4062d7b3411cb612157121ae158a3e0044200d47a60,ca8886e109d3e636fdda45afc5686c322d68ebbd1c253612936ce70eb38a1034,"[""cifar10dvs"",20,10,""C1"",1721988285]",a5b2a664de5142438061f479a37f3b55401499104abb28ee3cf1d674ec1d4527
E1_cifar10dvs_d20_t10_C2_s1721988285,E1,cifar10dvs,20,10,C2,spiking_resnet,ta_lif,1721988285,E1_cifar10dvs_d20_t10_C2_s1721988285.yaml,996ebde63f84fbc6dcbb2046d60afea0d691ec5387575a49e6af1ff4c71a8d62,ca66fa8ab5d27c839dbc1c437e9b76ecd60d73677686d375dafd3afe6cd785e1,"[""cifar10dvs"",20,10,""C2"",1721988285]",a5b2a664de5142438061f479a37f3b55401499104abb28ee3cf1d674ec1d4527
